,GILMAN/I80,CEDAR/I80,HEARST/I80,I80/UNIVERSITY,ASHBY/I80,4TH/GILMAN,4TH/CEDAR,4TH/HEARST,4TH/UNIVERSITY,4TH/DWIGHT,6TH/GILMAN,6TH/CEDAR,6TH/HEARST,6TH/UNIVERSITY,7TH/DWIGHT,7TH/ASHBY,GILMAN/SAN PABLO,CEDAR/SAN PABLO,DELAWARE/SAN PABLO,SAN PABLO/UNIVERSITY,DWIGHT/SAN PABLO,ASHBY/SAN PABLO,ALCATRAZ/SACRAMENTO,ADELINE/ALCATRAZ,ASHBY/CLAREMONT,ASHBY/COLLEGE,ASHBY/TELEGRAPH,ASHBY/SHATTUCK,ASHBY/ADELINE,ASHBY/MLK,ASHBY/SACRAMENTO,DERBY/DWIGHT,COLLEGE/DWIGHT,DWIGHT/TELEGRAPH,DWIGHT/OXFORD,DWIGHT/SHATTUCK,DWIGHT/MLK,DWIGHT/SACRAMENTO,DWIGHT/MILVIA,BANCROFT/PIEDMONT,BANCROFT/COLLEGE,BANCROFT/TELEGRAPH,BANCROFT/OXFORD,BANCROFT/SHATTUCK,BANCROFT/MILVIA,OXFORD/UNIVERSITY,HENRY/UNIVERSITY,MILVIA/UNIVERSITY,MLK/UNIVERSITY,SACRAMENTO/UNIVERSITY,GAYLEY/HEARST,HEARST/EUCLID,HEARST/OXFORD,HEARST/HENRY,HEARST/MILVIA,HEARST/MLK,HEARST/SACRAMENTO,GRIZZLY PEAK/SPRUCE/WILDCAT CANYON,EUCLID/GRIZZLY PEAK,GRIZZLY PEAK/MARIN,GRIZZLY PEAK/SHASTA,EUCLID/MARIN,MARIN/SHASTA,EUCLID/SHASTA,LA LOMA/SHASTA,CEDAR/LA LOMA,CEDAR/EUCLID,MARIN/SPRUCE,LOS ANGELES/SPRUCE,ROSE/SPRUCE,ARLINGTON/THOUSAND OAKS,ARLINGTON/HENRY/LOS ANGELES/MARIN,COLUSA/THOUSAND OAKS,COLUSA/LOS ANGELES,LOS ANGELES/MLK,MARIN/MLK,HENRY/HOPKINS,HOPKINS/MILVIA,HOPKINS/MLK,HENRY/ROSE,MILVIA/ROSE,MLK/ROSE,HOPKINS/SACRAMENTO,CEDAR/OXFORD,CEDAR/SHATTUCK,CEDAR/MILVIA,CEDAR/MLK,CEDAR/SACRAMENTO,OXFORD/ROSE,GAYLEY/PIEDMONT,CLAREMONT/DERBY,ADELINE/SHATTUCK,ADELINE/MLK,DELAWARE/SACRAMENTO
GILMAN/I80,,,,,,"21,700.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEDAR/I80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEARST/I80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I80/UNIVERSITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHBY/I80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4TH/GILMAN,,,,,,,,,,,"17,491.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4TH/CEDAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4TH/HEARST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4TH/UNIVERSITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4TH/DWIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6TH/GILMAN,,,,,,,,,,,,,,,,,"8,745.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
