FROM,TO,TWO WAY?,,,,"'4TH/GILMAN',",,,"'GILMAN/I80',",,, ,,
GILMAN/I80,4TH/GILMAN,YES,21700,,,,,,,,,,,
4TH/GILMAN,6TH/GILMAN,YES,17491,,,,,,,,,,,
6TH/GILMAN,GILMAN/SAN PABLO,YES,10295,,,,,,,,,,,
GILMAN/SAN PABLO,HOPKINS/SACRAMENTO,YES,9152,,,,,,,,,,,
HOPKINS/SACRAMENTO,HOPKINS/MLK,YES,7589,,,,,,,,,,,
HOPKINS/MLK,HENRY/HOPKINS,,5132,,,,,,,,,,,
HENRY/HOPKINS,ARLINGTON/HENRY/LOS ANGELES/MARIN,,15904,,,,,,,,,,,
MARIN/MLK,HOPKINS/MLK,,9119,,,,,,,,,,,
ARLINGTON/HENRY/LOS ANGELES/MARIN,LOS ANGELES/MLK,,10564,,,,,,,,,,,
COLUSA/LOS ANGELES,COLUSA/THOUSAND OAKS,,8469,,,,,,,,,,,
COLUSA/THOUSAND OAKS,ARLINGTON/THOUSAND OAKS,,2362,,,,,,,,,,,
ARLINGTON/THOUSAND OAKS,ARLINGTON/HENRY/LOS ANGELES/MARIN,,10444,,,,,,,,,,,
ARLINGTON/HENRY/LOS ANGELES/MARIN,GRIZZLY PEAK/MARIN,,6425,,,,,,,,,,,
MARIN/SPRUCE,GRIZZLY PEAK/SPRUCE/WILDCAT CANYON,,4582,,,,,,,,,,,
GRIZZLY PEAK/SPRUCE/WILDCAT CANYON,GRIZZLY PEAK/MARIN,,2910,,,,,,,,,,,
GRIZZLY PEAK/MARIN,ARLINGTON/HENRY/LOS ANGELES/MARIN,,6425,,,,,,,,,,,
MARIN/SHASTA,EUCLID/SHASTA,,2961,,,,,,,,,,,
EUCLID/SHASTA,CEDAR/EUCLID,,4515,,,,,,,,,,,
EUCLID/SHASTA,LA LOMA/SHASTA,,1459,,,,,,,,,,,
LA LOMA/SHASTA,GRIZZLY PEAK/SHASTA,,3529,,,,,,,,,,,
GRIZZLY PEAK/MARIN,GRIZZLY PEAK/SHASTA,,4613,,,,,,,,,,,
CEDAR/LA LOMA,CEDAR/OXFORD,,6923,,,,,,,,,,,
COLUSA/LOS ANGELES,LOS ANGELES/SPRUCE,,4978,,,,,,,,,,,
MARIN/SPRUCE,LOS ANGELES/SPRUCE,,4473,,,,,,,,,,,
LOS ANGELES/SPRUCE,ROSE/SPRUCE,,7158,,,,,,,,,,,
ROSE/SPRUCE,MLK/ROSE,,6923,,,,,,,,,,,
HENRY/ROSE,HENRY/UNIVERSITY,,18408,,,,,,,,,,,
